sale_date,productid,price,quantity,orderid
1996-11-11,69,36.0,18,10350
1996-11-11,38,263.5,20,10351
1996-11-11,41,9.65,13,10351
1996-11-11,44,19.45,77,10351
1996-11-11,65,21.05,10,10351
1996-11-12,24,4.5,10,10352
1996-11-12,54,7.45,20,10352
1996-11-13,11,21.0,12,10353
1996-11-13,38,263.5,50,10353
1996-11-14,1,18.0,12,10354
1996-11-14,29,123.79,4,10354
1996-11-15,24,4.5,25,10355
1996-11-15,57,19.5,25,10355
1996-11-18,31,12.5,30,10356
1996-11-18,55,24.0,12,10356
1996-11-18,69,36.0,20,10356
1996-11-19,10,31.0,30,10357
1996-11-19,26,31.23,16,10357
1996-11-19,60,34.0,8,10357
1996-11-20,24,4.5,10,10358
1996-11-20,34,14.0,10,10358
1996-11-20,36,19.0,20,10358
1996-11-21,16,17.45,56,10359
1996-11-21,31,12.5,70,10359
1996-11-21,60,34.0,80,10359
1996-11-22,28,45.6,30,10360
1996-11-22,29,123.79,35,10360
1996-11-22,38,263.5,10,10360
1996-11-22,49,20.0,35,10360
1996-11-22,54,7.45,28,10360
1996-11-22,39,18.0,54,10361
1996-11-22,60,34.0,55,10361
1996-11-25,25,14.0,50,10362
1996-11-25,51,53.0,20,10362
1996-11-25,54,7.45,24,10362
1996-11-26,31,12.5,20,10363
1996-11-26,75,7.75,12,10363
1996-11-26,76,18.0,12,10363
1996-11-26,69,36.0,30,10364
1996-11-26,71,21.5,5,10364
1996-11-27,11,21.0,24,10365
1996-11-28,65,21.05,5,10366
1996-11-28,77,13.0,5,10366
1996-11-28,34,14.0,36,10367
1996-11-28,54,7.45,18,10367
1996-11-28,65,21.05,15,10367
1996-11-28,77,13.0,7,10367
1996-11-29,21,10.0,5,10368
1996-11-29,28,45.6,13,10368
1996-11-29,57,19.5,25,10368
1996-11-29,64,33.25,35,10368
1996-12-02,29,123.79,20,10369
1996-12-02,56,38.0,18,10369
1996-12-03,1,18.0,15,10370
1996-12-03,64,33.25,30,10370
1996-12-03,74,10.0,20,10370
1996-12-03,36,19.0,6,10371
1996-12-04,20,81.0,12,10372
1996-12-04,38,263.5,40,10372
1996-12-04,60,34.0,70,10372
1996-12-04,72,34.8,42,10372
1996-12-05,58,13.25,80,10373
1996-12-05,71,21.5,50,10373
1996-12-05,31,12.5,30,10374
1996-12-05,58,13.25,15,10374
1996-12-06,14,23.25,15,10375
1996-12-06,54,7.45,10,10375
1996-12-09,31,12.5,42,10376
1996-12-09,28,45.6,20,10377
1996-12-09,39,18.0,20,10377
1996-12-10,71,21.5,6,10378
1996-12-11,41,9.65,8,10379
1996-12-11,63,43.9,16,10379
1996-12-11,65,21.05,20,10379
1996-12-12,30,25.89,18,10380
1996-12-12,53,32.8,20,10380
1996-12-12,60,34.0,6,10380
1996-12-12,70,15.0,30,10380
1996-12-12,74,10.0,14,10381
1996-12-13,5,21.35,32,10382
1996-12-13,18,62.5,9,10382
1996-12-13,29,123.79,14,10382
1996-12-13,33,2.5,60,10382
1996-12-13,74,10.0,50,10382
1996-12-16,13,6.0,20,10383
1996-12-16,50,16.25,15,10383
1996-12-16,56,38.0,20,10383
1996-12-16,20,81.0,28,10384
1996-12-16,60,34.0,15,10384
1996-12-17,7,30.0,10,10385
1996-12-17,60,34.0,20,10385
1996-12-17,68,12.5,8,10385
1996-12-18,24,4.5,15,10386
1996-12-18,34,14.0,10,10386
1996-12-18,24,4.5,15,10387
1996-12-18,28,45.6,6,10387
1996-12-18,59,55.0,12,10387
1996-12-18,71,21.5,15,10387
1996-12-19,45,9.5,15,10388
1996-12-19,52,7.0,20,10388
1996-12-19,53,32.8,40,10388
1996-12-20,10,31.0,16,10389
1996-12-20,55,24.0,15,10389
1996-12-20,62,49.3,20,10389
1996-12-20,70,15.0,30,10389
1996-12-23,31,12.5,60,10390
1996-12-23,35,18.0,40,10390
1996-12-23,46,12.0,45,10390
1996-12-23,72,34.8,24,10390
1996-12-23,13,6.0,18,10391
1996-12-24,69,36.0,50,10392
1996-12-25,2,19.0,25,10393
1996-12-25,14,23.25,42,10393
1996-12-25,25,14.0,7,10393
1996-12-25,26,31.23,70,10393
1996-12-25,31,12.5,32,10393
1996-12-25,13,6.0,10,10394
1996-12-25,62,49.3,10,10394
1996-12-26,46,12.0,28,10395
1996-12-26,53,32.8,70,10395
1996-12-26,69,36.0,8,10395
1996-12-27,23,9.0,40,10396
1996-12-27,71,21.5,60,10396
1996-12-27,72,34.8,21,10396
1996-12-27,21,10.0,10,10397
1996-12-27,51,53.0,18,10397
1996-12-30,35,18.0,30,10398
1996-12-30,55,24.0,120,10398
1996-12-31,68,12.5,60,10399
1996-12-31,71,21.5,30,10399
1996-12-31,76,18.0,35,10399
1996-12-31,77,13.0,14,10399
1997-01-01,29,123.79,21,10400
1997-01-01,35,18.0,35,10400
1997-01-01,49,20.0,30,10400
1997-01-01,30,25.89,18,10401
1997-01-01,56,38.0,70,10401
1997-01-01,65,21.05,20,10401
1997-01-01,71,21.5,60,10401
1997-01-02,23,9.0,60,10402
1997-01-02,63,43.9,65,10402
1997-01-03,16,17.45,21,10403
1997-01-03,48,12.75,70,10403
1997-01-03,26,31.23,30,10404
1997-01-03,42,14.0,40,10404
1997-01-03,49,20.0,30,10404
1997-01-06,3,10.0,50,10405
1997-01-07,1,18.0,10,10406
1997-01-07,21,10.0,30,10406
1997-01-07,28,45.6,42,10406
1997-01-07,36,19.0,5,10406
1997-01-07,40,18.4,2,10406
1997-01-07,11,21.0,30,10407
1997-01-07,69,36.0,15,10407
1997-01-07,71,21.5,15,10407
1997-01-08,37,26.0,10,10408
1997-01-08,54,7.45,6,10408
1997-01-08,62,49.3,35,10408
1997-01-09,14,23.25,12,10409
1997-01-09,21,10.0,12,10409
1997-01-10,33,2.5,49,10410
1997-01-10,59,55.0,16,10410
1997-01-10,41,9.65,25,10411
1997-01-10,44,19.45,40,10411
1997-01-10,59,55.0,9,10411
1997-01-13,14,23.25,20,10412
1997-01-14,1,18.0,24,10413
1997-01-14,62,49.3,40,10413
1997-01-14,76,18.0,14,10413
1997-01-14,19,9.2,18,10414
1997-01-14,33,2.5,50,10414
1997-01-15,17,39.0,2,10415
1997-01-15,33,2.5,20,10415
1997-01-16,19,9.2,20,10416
1997-01-16,53,32.8,10,10416
1997-01-16,57,19.5,20,10416
1997-01-16,38,263.5,50,10417
1997-01-16,46,12.0,2,10417
1997-01-16,68,12.5,36,10417
1997-01-16,77,13.0,35,10417
1997-01-17,2,19.0,60,10418
1997-01-17,47,9.5,55,10418
1997-01-17,61,28.5,16,10418
1997-01-17,74,10.0,15,10418
1997-01-20,60,34.0,60,10419
1997-01-20,69,36.0,20,10419
1997-01-21,9,97.0,20,10420
1997-01-21,13,6.0,2,10420
1997-01-21,70,15.0,8,10420
1997-01-21,73,15.0,20,10420
1997-01-21,19,9.2,4,10421
1997-01-21,26,31.23,30,10421
1997-01-21,53,32.8,15,10421
1997-01-21,77,13.0,10,10421
1997-01-22,26,31.23,2,10422
1997-01-23,31,12.5,14,10423
1997-01-23,59,55.0,20,10423
1997-01-23,35,18.0,60,10424
1997-01-23,38,263.5,49,10424
1997-01-23,68,12.5,30,10424
1997-01-24,55,24.0,10,10425
1997-01-24,76,18.0,20,10425
1997-01-27,56,38.0,5,10426
1997-01-27,64,33.25,7,10426
1997-01-27,14,23.25,35,10427
1997-01-28,46,12.0,20,10428
1997-01-29,50,16.25,40,10429
1997-01-29,63,43.9,35,10429
1997-01-30,17,39.0,45,10430
1997-01-30,21,10.0,50,10430
1997-01-30,56,38.0,30,10430
1997-01-30,59,55.0,70,10430
1997-01-30,17,39.0,50,10431
1997-01-30,40,18.4,50,10431
1997-01-30,47,9.5,30,10431
1997-01-31,26,31.23,10,10432
1997-01-31,54,7.45,40,10432
1997-02-03,56,38.0,28,10433
1997-02-03,11,21.0,6,10434
1997-02-03,76,18.0,18,10434
1997-02-04,2,19.0,10,10435
1997-02-04,22,21.0,12,10435
1997-02-04,72,34.8,10,10435
1997-02-05,46,12.0,5,10436
1997-02-05,56,38.0,40,10436
1997-02-05,64,33.25,30,10436
1997-02-05,75,7.75,24,10436
1997-02-05,53,32.8,15,10437
1997-02-06,19,9.2,15,10438
1997-02-06,34,14.0,20,10438
1997-02-06,57,19.5,15,10438
1997-02-07,12,38.0,15,10439
1997-02-07,16,17.45,16,10439
1997-02-07,64,33.25,6,10439
1997-02-07,74,10.0,30,10439
1997-02-10,2,19.0,45,10440
1997-02-10,16,17.45,49,10440
1997-02-10,29,123.79,24,10440
1997-02-10,61,28.5,90,10440
1997-02-10,27,43.9,50,10441
1997-02-11,11,21.0,30,10442
1997-02-11,54,7.45,80,10442
1997-02-11,66,17.0,60,10442
1997-02-12,11,21.0,6,10443
1997-02-12,28,45.6,12,10443
